Environment,Economic,Social,Food_nutrition,SFS_index,iso3c,country.name.en,Lang1,Lang2,Lang3,Language,code
0.213922983,0.019134828,0.196158453,0.707465983,0.154382707,DZA,Algeria,arabic,french,,french,fr
0.303472106,0.083961457,0.562184869,0.698014352,0.316217253,ARG,Argentina,spanish,,,spanish,es
0.388018479,0.22409048,0.677814236,0.787252812,0.464114547,AUS,Australia,english,,,english,en
0.173966358,0.15748542,0.634251814,0.806668722,0.34408492,AUT,Austria,german,,,german,de
0.14870628,0.011412908,0.718478679,0.693648867,0.170537465,AZE,Azerbaijan,azerbaijani,english,,english,en
0.122695515,0.002564091,0.500701324,0.617620666,0.099315193,BGD,Bangladesh,bengali,english,,english,en
0.117464414,0.052137697,0.629302042,0.719143744,0.229447459,BLR,Belarus,belarusian,russian,english,english,en
0.078796929,0.243984429,0.558591358,0.797691326,0.304228658,BEL,Belgium,dutch , french ,,french,fr
0.111090009,0.00408616,0.811248827,0.602790541,0.122061222,BEN,Benin,french ,,,french,fr
0.197464517,0.003642019,0.852214627,0.70266079,0.144056047,BWA,Botswana,english,,,english,en
0.385065182,0.035575852,0.651257147,0.718630333,0.282967724,BRA,Brazil,portuguese,,,portuguese,pt
0.175125818,0.073384466,0.562915156,0.726344585,0.269237154,BGR,Bulgaria,bulgarian,english,,english,en
0.122251036,0.001619087,0.887778641,0.616369077,0.102015719,BFA,Burkina Faso,french ,,,french,fr
0.127452206,0.003125153,0.875781052,0.589137756,0.119731317,KHM,Cambodia,khmer,french,,french,fr
0.23319846,0.005829935,0.823652176,0.646096937,0.164005245,CMR,Cameroon,french ,english,,french,fr
0.424684472,0.278935152,0.705368214,0.786750726,0.506355658,CAN,Canada,english, french ,,english,en
0.315206635,0.035242022,0.58773344,0.720107811,0.261853584,CHL,Chile,spanish,,,spanish,es
0.533190376,0.021741181,0.671855991,0.706376356,0.272345024,COL,Colombia,spanish,,,spanish,es
0.373772044,0.03103204,0.543116158,0.706810267,0.258317113,CRI,Costa Rica,spanish,,,spanish,es
